eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
Purple Heron,Purple Heron,Ardea purpurea,Low,Increase,Stable,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,250
Great Egret,Great Egret,Ardea alba,Low,Stable,Trend Inconclusive,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,1000
Medium Egret,Intermediate Egret,Ardea intermedia,Low,Stable,Trend Inconclusive,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,1000
Chinese Egret,Chinese Egret,Egretta eulophotes,,,,,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix I,
Little Egret,Little Egret,Egretta garzetta,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,1400
Western Reef-Heron,Western Reef-Heron,Egretta gularis,High,Rapid Decline,Decline,Moderate,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,250
Pacific Reef-Heron,Pacific Reef-Heron,Egretta sacra,,,,,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,TRUE,Least Concern,Schedule-II,,,10000
Eastern Cattle Egret,Cattle Egret,Bubulcus ibis,Low,Trend Inconclusive,Stable,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,20000
Indian Pond-Heron,Indian Pond-Heron,Ardeola grayii,Low,Stable,Stable,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,10000
Chinese Pond-Heron,Chinese Pond-Heron,Ardeola bacchus,,,,,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Summer Migrant,FALSE,Least Concern,Schedule-II,,,
Javan Pond-Heron,Javan Pond-Heron,Ardeola speciosa,,,,,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,
Striated Heron,Striated Heron,Butorides striata,Moderate,Decline,Trend Inconclusive,Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,250
Black-crowned Night Heron,Black-crowned Night-Heron,Nycticorax nycticorax,Low,Stable,Stable,Very Large,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,1200
White-eared Night Heron,White-eared Night-Heron,Gorsachius magnificus,,,,,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Endangered,Schedule-I,,,
Malayan Night Heron,Malayan Night-Heron,Gorsachius melanolophus,,,,,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Summer Migrant & Localized Winter Migrant,FALSE,Least Concern,Schedule-II,,,
Glossy Ibis,Glossy Ibis,Plegadis falcinellus,Low,Rapid Increase,Stable,Very Large,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,
Black-headed Ibis,Black-headed Ibis,Threskiornis melanocephalus,Low,Rapid Increase,Stable,Very Large,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Near Threatened,Schedule-II,,,250
Red-naped Ibis,Red-naped Ibis,Pseudibis papillosa,Low,Rapid Increase,Stable,Very Large,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Omnivore,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,100
Eurasian Spoonbill,Eurasian Spoonbill,Platalea leucorodia,High,Rapid Decline,Rapid Decline,Large,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Local Migrant,FALSE,Least Concern,Schedule-I,,Appendix II,
Osprey,Osprey,Pandion haliaetus,High,Rapid Decline,Rapid Decline,Large,Accipitriformes,Pandionidae (Osprey),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Black-winged Kite,Black-winged Kite,Elanus caeruleus,Moderate,Decline,Decline,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,
Bearded Vulture,Bearded Vulture,Gypaetus barbatus,High,Rapid Decline,Rapid Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Altitudinal Migrant,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Egyptian Vulture,Egyptian Vulture,Neophron percnopterus,High,Rapid Decline,Decline,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Winter Migrant,FALSE,Endangered,Schedule-I,Appendix II,Appendix I,
European Honey-buzzard,European Honey-buzzard,Pernis apivorus,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,
Oriental Honey-buzzard,Oriental Honey-buzzard,Pernis ptilorhynchus,Low,Stable,Stable,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,
Jerdon's Baza,Jerdon's Baza,Aviceda jerdoni,Low,Insufficient Data,Insufficient Data,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Black Baza,Black Baza,Aviceda leuphotes,Moderate,Trend Inconclusive,Trend Inconclusive,Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Within-India Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Red-headed Vulture,Red-headed Vulture,Sarcogyps calvus,High,Rapid Decline,Rapid Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Cinereous Vulture,Cinereous Vulture,Aegypius monachus,Moderate,Rapid Decline,Trend Inconclusive,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix I,
White-rumped Vulture,White-rumped Vulture,Gyps bengalensis,High,Rapid Decline,Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Indian Vulture,Indian Vulture,Gyps indicus,High,Rapid Decline,Rapid Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Slender-billed Vulture,Slender-billed Vulture,Gyps tenuirostris,High,Insufficient Data,Insufficient Data,Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Critically Endangered,Schedule-I,Appendix II,Appendix I,
Himalayan Griffon,Himalayan Griffon,Gyps himalayensis,Moderate,Decline,Trend Inconclusive,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Winter Migrant,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Eurasian Griffon,Eurasian Griffon,Gyps fulvus,High,Rapid Decline,Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Nicobar Serpent-Eagle,Nicobar Serpent-Eagle,Spilornis klossi,Moderate,Insufficient Data,Insufficient Data,Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Nicobar Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Crested Serpent-Eagle,Crested Serpent-Eagle,Spilornis cheela,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Andaman Serpent-Eagle,Andaman Serpent-Eagle,Spilornis elgini,High,Insufficient Data,Rapid Decline,Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Andaman Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Vulnerable,Schedule-I,Appendix II,Appendix II,
Short-toed Snake-Eagle,Short-toed Snake-Eagle,Circaetus gallicus,High,Rapid Decline,Rapid Decline,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Changeable Hawk-Eagle,Changeable Hawk-Eagle,Nisaetus cirrhatus,Low,Decline,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Mountain Hawk-Eagle,Mountain Hawk-Eagle,Nisaetus nipalensis,Low,Trend Inconclusive,Stable,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Legge's Hawk-Eagle,Legge's Hawk-Eagle,Nisaetus kelaarti,Moderate,Insufficient Data,Insufficient Data,Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Western Ghats & Sri Lanka,FALSE,TRUE,FALSE,Forest,Resident,FALSE,Not Recognised,Schedule-II,Appendix II,Appendix II,
Rufous-bellied Eagle,Rufous-bellied Eagle,Lophotriorchis kienerii,Low,Trend Inconclusive,Stable,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Black Eagle,Black Eagle,Ictinaetus malaiensis,Low,Decline,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Indian Spotted Eagle,Indian Spotted Eagle,Clanga hastata,Moderate,Trend Inconclusive,Trend Inconclusive,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Within-India Migrant,FALSE,Vulnerable,Schedule-I,Appendix II,Appendix II,
Greater Spotted Eagle,Greater Spotted Eagle,Clanga clanga,Low,Stable,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Vulnerable,Schedule-I,Appendix II,Appendix I,
Booted Eagle,Booted Eagle,Hieraaetus pennatus,Low,Stable,Trend Inconclusive,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Tawny Eagle,Tawny Eagle,Aquila rapax,High,Rapid Decline,Rapid Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Winter Migrant,FALSE,Vulnerable,Schedule-I,Appendix II,Appendix II,
Steppe Eagle,Steppe Eagle,Aquila nipalensis,Low,Trend Inconclusive,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Endangered,Schedule-I,Appendix II,Appendix I,
Imperial Eagle,Imperial Eagle,Aquila heliaca,Moderate,Trend Inconclusive,Trend Inconclusive,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,Appendix I,
Golden Eagle,Golden Eagle,Aquila chrysaetos,Low,Insufficient Data,Insufficient Data,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Local Migrant & Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Bonelli's Eagle,Bonelli's Eagle,Aquila fasciata,Low,Stable,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
White-eyed Buzzard,White-eyed Buzzard,Butastur teesa,Moderate,Trend Inconclusive,Decline,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Local Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Rufous-winged Buzzard,Rufous-winged Buzzard,Butastur liventer,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Least Concern,Recent addition,Appendix II,Appendix II,
Gray-faced Buzzard,Gray-faced Buzzard,Butastur indicus,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Western Marsh Harrier,Eurasian Marsh-Harrier,Circus aeruginosus,High,Rapid Decline,Decline,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Eastern Marsh Harrier,Eastern Marsh-Harrier,Circus spilonotus,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Hen Harrier,Hen Harrier,Circus cyaneus,Moderate,Insufficient Data,Decline,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Pallid Harrier,Pallid Harrier,Circus macrourus,High,Rapid Decline,Decline,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Grassland,Winter Migrant,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Pied Harrier,Pied Harrier,Circus melanoleucos,Low,Insufficient Data,Trend Inconclusive,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Montagu's Harrier,Montagu's Harrier,Circus pygargus,High,Rapid Decline,Decline,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Grassland,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Crested Goshawk,Crested Goshawk,Accipiter trivirgatus,Moderate,Decline,Stable,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Shikra,Shikra,Accipiter badius,Low,Trend Inconclusive,Stable,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Nicobar Sparrowhawk,Nicobar Sparrowhawk,Accipiter butleri,High,Insufficient Data,Insufficient Data,Very Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Nicobar Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Vulnerable,Schedule-I,Appendix II,Appendix II,
Chinese Sparrowhawk,Chinese Sparrowhawk,Accipiter soloensis,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Japanese Sparrowhawk,Japanese Sparrowhawk,Accipiter gularis,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Besra,Besra,Accipiter virgatus,Low,Insufficient Data,Insufficient Data,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Eurasian Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,Low,Decline,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Eurasian Goshawk,Northern Goshawk,Accipiter gentilis,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Red Kite,Red Kite,Milvus milvus,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Black Kite,Black Kite,Milvus migrans,Low,Stable,Trend Inconclusive,Very Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,
Brahminy Kite,Brahminy Kite,Haliastur indus,Low,Stable,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
White-tailed Eagle,White-tailed Eagle,Haliaeetus albicilla,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix I,Appendix I,
Pallas's Fish-Eagle,Pallas's Fish-Eagle,Haliaeetus leucoryphus,High,Rapid Decline,Trend Inconclusive,Restricted,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Endangered,Schedule-I,Appendix II,Appendix I,
White-bellied Sea-Eagle,White-bellied Sea-Eagle,Haliaeetus leucogaster,Moderate,Rapid Decline,Stable,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Lesser Fish-Eagle,Lesser Fish-Eagle,Haliaeetus humilis,Low,Stable,Trend Inconclusive,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Gray-headed Fish-Eagle,Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,Moderate,Insufficient Data,Insufficient Data,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,
Rough-legged Hawk,Rough-legged Hawk,Buteo lagopus,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,
Common Buzzard,Common Buzzard,Buteo buteo,Low,Decline,Stable,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Himalayan Buzzard,Himalayan Buzzard,Buteo refectus,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Long-legged Buzzard,Long-legged Buzzard,Buteo rufinus,Low,Trend Inconclusive,Trend Inconclusive,Large,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Upland Buzzard,Upland Buzzard,Buteo hemilasius,,,,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,
Australasian Grass-Owl,Australasian Grass-Owl,Tyto longimembris,,,,,Strigiformes,Tytonidae (Barn-Owls),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Grassland,Resident,FALSE,Least Concern,Schedule-II,Appendix II,,
Barn Owl,Barn Owl,Tyto alba,,,,,Strigiformes,Tytonidae (Barn-Owls),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-I,Appendix II,,
Andaman Masked-Owl,Andaman Masked-Owl,Tyto deroepstorffi,,,,,Strigiformes,Tytonidae (Barn-Owls),Vertebrate & Carrion,Andaman Islands,TRUE,TRUE,FALSE,Non-specialized,Resident,TRUE,Not Recognised,Schedule-I,Appendix II,,
Oriental Bay-Owl,Oriental Bay-Owl,Phodilus badius,,,,,Strigiformes,Tytonidae (Barn-Owls),Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,Appendix II,,
Sri Lanka Bay-Owl,Sri Lanka Bay-Owl,Phodilus assimilis,,,,,Strigiformes,Tytonidae (Barn-Owls),Vertebrate & Carrion,Western Ghats & Sri Lanka,FALSE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,Appendix II,,
Andaman Scops-Owl,Andaman Scops-Owl,Otus balli,,,,,Strigiformes,Strigidae (Owls),Invertebrate,Andaman Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Least Concern,Schedule-II,Appendix II,,
Mountain Scops-Owl,Mountain Scops-Owl,Otus spilocephalus,,,,,Strigiformes,Strigidae (Owls),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,Appendix II,,
Indian Scops-Owl,Indian Scops-Owl,Otus bakkamoena,,,,,Strigiformes,Strigidae (Owls),Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,Appendix II,,
Collared Scops-Owl,Collared Scops-Owl,Otus lettia,,,,,Strigiformes,Strigidae (Owls),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,Appendix II,,
