eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
White-browed Bushchat,White-browed Bushchat,Saxicola macrorhynchus,High,Insufficient Data,Insufficient Data,Restricted,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Grassland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix II,
White-throated Bushchat,White-throated Bushchat,Saxicola insignis,High,Insufficient Data,Insufficient Data,Very Restricted,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-I,,Appendix II,
Siberian Stonechat,Siberian Stonechat,Saxicola maurus,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Amur Stonechat,Amur Stonechat,Saxicola stejnegeri,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Not Recognised,Schedule-II,,Appendix II,
White-tailed Stonechat,White-tailed Stonechat,Saxicola leucurus,Low,Insufficient Data,Trend Inconclusive,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,
Pied Bushchat,Pied Bushchat,Saxicola caprata,Low,Stable,Stable,Very Large,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Jerdon's Bushchat,Jerdon's Bushchat,Saxicola jerdoni,High,Insufficient Data,Insufficient Data,Very Restricted,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,
Gray Bushchat,Gray Bushchat,Saxicola ferreus,Low,Stable,Trend Inconclusive,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Northern Wheatear,Northern Wheatear,Oenanthe oenanthe,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Passage Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Isabelline Wheatear,Isabelline Wheatear,Oenanthe isabellina,High,Rapid Decline,Decline,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Grassland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Desert Wheatear,Desert Wheatear,Oenanthe deserti,High,Rapid Decline,Decline,Large,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Pied Wheatear,Pied Wheatear,Oenanthe pleschanka,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Brown Rock Chat,Brown Rock Chat,Oenanthe fusca,Low,Stable,Rapid Increase,Large,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,
Variable Wheatear,Variable Wheatear,Oenanthe picata,High,Rapid Decline,Decline,Large,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Hume's Wheatear,Hume's Wheatear,Oenanthe albonigra,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,
Finsch's Wheatear,Finsch's Wheatear,Oenanthe finschii,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,
Persian Wheatear,Persian Wheatear,Oenanthe chrysopygia,,,,,Passeriformes,Muscicapidae (Old World Flycatchers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Grassland & Scrub,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,
Bohemian Waxwing,Bohemian Waxwing,Bombycilla garrulus,,,,,Passeriformes,Bombycillidae (Waxwings),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Least Concern,Schedule-II,,,
Hypocolius,Hypocolius,Hypocolius ampelinus,Moderate,Insufficient Data,Insufficient Data,Restricted,Passeriformes,Hypocoliidae (Hypocolius),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-II,,,
Thick-billed Flowerpecker,Thick-billed Flowerpecker,Dicaeum agile,High,Decline,Rapid Decline,Large,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Yellow-vented Flowerpecker,Yellow-vented Flowerpecker,Dicaeum chrysorrheum,,,,,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Summer Migrant,FALSE,Least Concern,Schedule-II,,,
